공연ID,공연명,공연시작일,공연종료일,공연시설명,출연진,제작진,런타임,관람연령,제작사,기획사,주최,주관,티켓가격,포스터URL,줄거리,공연지역,공연장르명,오픈런,내한여부,아동공연여부,대학로공연여부,축제여부,뮤지컬라이센스,뮤지컬창작,최종수정일,공연상태,공연시설ID,공연시간,장르(통계),상연횟수,공연명(통계),공연시설명(통계),공연시작일(통계),공연종료일(통계),연도(통계),월(통계),장르코드(통계),티켓가격_list,최소가격,최대가격,객석수,시군구,시도,극장규모
PF241608,누가 이 사람을 모르시나요 [성남],2024-06-27,2024-07-07,성남아트센터 (오페라하우스),"고두심, 이순재, 이정길, 임동진, 기정수, 이한수, 원근희 등","장수철, 표재순, 박상욱 등",2시간,만 7세 이상,"(주) 컬쳐플러스, 극단 예맥",(주)DPS컴퍼니(DPS Company),,,"VIP석 150,000원, R석 120,000원, S석 90,000원, A석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241608_240523_110336.gif,,경기도,연극,N,N,N,N,N,N,N,2024-05-23 15:00:00,공연완료,FC000016,"화요일 ~ 금요일(14:00,19:30), 토요일 ~ 일요일(14:00,19:00)",,,,,,,,,,"[150000, 120000, 90000, 70000]",70000.0,150000.0,5174.0,성남시,경기도,대극장
PF241105,맥베스,2024-07-13,2024-08-18,국립극장 (해오름극장),"황정민, 김소진, 송일국, 송영창, 남윤호, 홍성원, 임기홍 등","김미혜, 양정웅, 김상훈 등",2시간,만 13세 이상,(주)샘컴퍼니,(주)샘컴퍼니,,,"VIP석 110,000원, OP석 99,000원, R석 88,000원, S석 66,000원, A석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241105_240516_102755.gif,,서울특별시,연극,N,N,N,N,N,N,N,2025-04-04 15:23:02,공연완료,FC000003,"화요일(19:30), 수요일(14:00), 목요일 ~ 금요일(19:30), 토요일(14:00,18:00), 일요일(14:00), HOL(14:00)",,,,,,,,,,"[110000, 99000, 88000, 66000, 44000]",44000.0,110000.0,2432.0,중구,서울특별시,대극장
PF232562,"사이먼스톤 연출, 벚꽃동산",2024-06-04,2024-07-07,LG아트센터 서울 (LG SIGNATURE 홀),"전도연, 박해수, 손상규, 최희서, 이지혜, 남윤호, 유병훈 등","사이먼 스톤, 이현정, 신민경 등",1시간 40분,만 7세 이상,,LG아트센터,LG아트센터,,"R석 110,000원, S석 80,000원, A석 60,000원, B석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF232562_240524_101546.jpg,,서울특별시,연극,N,N,N,N,N,N,N,2024-01-19 18:00:00,공연완료,FC003045,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(15:00), HOL(15:00)",,,,,,,,,,"[110000, 80000, 60000, 40000]",40000.0,110000.0,1700.0,강서구,서울특별시,대극장
PF245532,수상한 미용실 [대학로],2024-07-25,2024-09-21,대학로 스카이씨어터 (2관(5층 구 JK아트홀)),,"기대호, 김종해",1시간 10분,만 19세 이상,,,주식회사 대호필름,주식회사 대호필름,"특별석 99,000원, 일반석 69,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245532_240722_153935.png,,서울특별시,연극,Y,N,N,Y,N,N,N,2024-09-10 12:22:58,공연완료,FC001091,"목요일(20:00), 금요일(16:30,20:00), 토요일(16:30,19:00), 일요일(15:00,18:00)",,,,,,,,,,"[99000, 69000]",69000.0,99000.0,330.0,종로구,서울특별시,소극장
PF239885,햄릿,2024-06-09,2024-09-01,홍익대 대학로 아트센터 (대극장),"강필석, 이승주, 이호재, 전무송, 박정자, 전수경, 김재건 등","손진책, 이태섭, 김태근 등",2시간 55분,만 7세 이상,(주)신시컴퍼니,(주)신시컴퍼니,(주)신시컴퍼니,,"VIP석 90,000원, OP석 90,000원, R석 70,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239885_240424_141110.gif,,서울특별시,연극,N,N,N,Y,N,N,N,2024-04-24 15:00:00,공연완료,FC001208,"화요일 ~ 금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)",,,,,,,,,,"[90000, 90000, 70000, 60000]",60000.0,90000.0,852.0,종로구,서울특별시,중극장
PF216355,오마이갓 [전용관],2023-04-10,2025-09-30,오마이갓 전용관 (오마이갓 전용관),"이건, 김주원, 김태오, 박재연, 이주연, 이사라, 변소정 등",,1시간 30분,만 13세 이상,,,설앤수컴퍼니,설앤수컴퍼니,"전석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF216355_230406_143822.gif,,서울특별시,연극,Y,N,N,Y,N,N,N,2025-08-19 15:50:08,공연중,FC003396,"목요일(15:00,15:30,17:00,17:20,17:30), 금요일(14:00,15:00,15:30,15:40,16:00,17:00,17:20,17:40,18:00), 토요일(13:30,14:00,15:20,16:00,16:30,17:10,18:00,19:00,20:50), 수요일(15:00,15:30,17:00,17:20), 일요일(11:40,13:30,14:00,15:00,15:20,16:00,17:00,17:10,18:00,19:00,20:50), HOL(11:40,13:30,13:40,14:00,15:00,15:20,15:30,16:00,17:00,17:10,17:20,18:00,19:00,19:10,20:50), 월요일(15:00,15:30,17:00,17:20,17:30), 화요일(15:00,15:30,17:00,17:20,17:30)",,,,,,,,,,[80000],80000.0,80000.0,78.0,종로구,서울특별시,소극장
PF215020,핫식스,2023-04-01,2025-09-30,도토리씨어터 (핫식스 1관),"한상효, 김석진, 조우경, 김성미, 임다미, 채다솜, 임종철 등",,2시간,만 19세 이상,,,설컴퍼니,설컴퍼니,"전석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF215020_230315_130848.gif,,서울특별시,연극,Y,N,N,Y,N,N,N,2025-08-11 14:36:34,공연중,FC003374,"월요일(15:20,16:30,18:30,19:30), 화요일 ~ 목요일(15:20,16:30,18:30,19:30), 금요일(15:20,16:30,18:30,19:30), 토요일(13:20,14:00,16:00,16:30,16:40,19:00,19:20), 일요일(13:20,13:30,16:10,16:30,18:50,19:00,19:10), HOL(13:20,13:30,16:30,16:40,19:00,19:10,19:30)",,,,,,,,,,[80000],80000.0,80000.0,232.0,종로구,서울특별시,소극장
PF237786,클로저,2024-04-23,2024-07-14,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),"안소희, 김주연, 최석진, 유현석, 이상윤, 진서연, 이진희 등","황석희, 손형민, 김지호 등",1시간 50분,만 19세 이상,(주)레드앤블루(구. 악어컴퍼니),(주)레드앤블루(구. 악어컴퍼니),(주)레드앤블루(구. 악어컴퍼니),(주)레드앤블루(구. 악어컴퍼니),"R석 66,000원, S석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237786_240603_131811.jpg,,서울특별시,연극,N,N,N,Y,N,N,N,2024-03-20 15:00:00,공연완료,FC001459,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)",,,,,,,,,,"[66000, 44000]",44000.0,66000.0,314.0,종로구,서울특별시,소극장
PF241880,카사노바,2024-06-21,2024-09-22,윤당아트홀 (1관),"해리 벤자민, 이안 슈츠만, 스베아 웨디스, 아나 루게이루, 루나 키드조, 다미르 살리호프, 클레어 나슈크 등","윤다영, 하영미, 김현수 등",1시간 30분,만 19세 이상,(주)폴라베어픽쳐스,"(주)폴라베어픽쳐스, 공연예술집단 노는이",공연예술집단 노는이,,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241880_240708_112244.gif,,서울특별시,연극,N,Y,N,N,N,N,N,2024-05-28 15:00:00,공연완료,FC000055,"화요일 ~ 금요일(19:30), 토요일(15:00,18:00), 일요일(15:00), HOL(15:00,18:00)",,,,,,,,,,"[66000, 55000]",55000.0,66000.0,417.0,강남구,서울특별시,소극장
PF240510,일리아드,2024-06-18,2024-09-08,예스24아트원(구.대학로아트원씨어터) (2관),"황석정, 최재웅, 김종구, 고의석, 서수진 등","송은도, 이헌재, 함유선 등",1시간 50분,만 12세 이상,(주)네오,(주)네오,,,"R석 66,000원, S석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240510_240507_105816.jpg,,서울특별시,연극,N,N,N,Y,N,N,N,2024-05-07 15:00:00,공연완료,FC000833,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)",,,,,,,,,,"[66000, 44000]",44000.0,66000.0,851.0,종로구,서울특별시,중극장
