장르,예매액,예매수,총티켓판매수,취소수,예매액비중,가격대,year,month,shcate
대중음악,0,0,0,0,0.0,0원,2014,1,CCCD
대중음악,0,0,0,0,0.0,3만원미만,2014,1,CCCD
대중음악,0,0,0,0,0.0,3만원이상~5만원미만,2014,1,CCCD
대중음악,0,0,0,0,0.0,5만원이상~7만원미만,2014,1,CCCD
대중음악,0,0,0,0,0.0,7만원이상~10만원미만,2014,1,CCCD
대중음악,0,0,0,0,0.0,10만원이상~15만원미만,2014,1,CCCD
대중음악,0,0,0,0,0.0,15만원이상,2014,1,CCCD
뮤지컬,0,35197,31906,3291,74.3,0원,2014,1,GGGA
뮤지컬,64207,3971,3669,302,8.5,3만원미만,2014,1,GGGA
뮤지컬,111013,3380,2929,451,6.8,3만원이상~5만원미만,2014,1,GGGA
뮤지컬,117629,2759,2121,638,4.9,5만원이상~7만원미만,2014,1,GGGA
뮤지컬,146958,4828,1913,2915,4.5,7만원이상~10만원미만,2014,1,GGGA
뮤지컬,49324,1338,420,918,1.0,10만원이상~15만원미만,2014,1,GGGA
뮤지컬,0,0,0,0,0.0,15만원이상,2014,1,GGGA
연극,0,5004,4760,244,48.3,0원,2014,1,AAAA
연극,61472,4952,4559,393,46.3,3만원미만,2014,1,AAAA
연극,20656,1534,545,989,5.5,3만원이상~5만원미만,2014,1,AAAA
연극,0,2228,0,2245,0.0,5만원이상~7만원미만,2014,1,AAAA
연극,0,0,0,0,0.0,7만원이상~10만원미만,2014,1,AAAA
연극,0,0,0,0,0.0,10만원이상~15만원미만,2014,1,AAAA
연극,0,0,0,0,0.0,15만원이상,2014,1,AAAA
대중음악,0,714,684,30,80.4,0원,2014,2,CCCD
대중음악,0,0,0,0,0.0,3만원미만,2014,2,CCCD
대중음악,1524,55,38,17,4.5,3만원이상~5만원미만,2014,2,CCCD
대중음악,3696,62,60,2,7.1,5만원이상~7만원미만,2014,2,CCCD
대중음악,5676,116,64,52,7.5,7만원이상~10만원미만,2014,2,CCCD
대중음악,605,7,5,2,0.6,10만원이상~15만원미만,2014,2,CCCD
대중음악,0,0,0,0,0.0,15만원이상,2014,2,CCCD
뮤지컬,0,8006,7899,107,38.1,0원,2014,2,GGGA
뮤지컬,92838,5385,4918,467,23.7,3만원미만,2014,2,GGGA
뮤지컬,64167,2423,1926,497,9.3,3만원이상~5만원미만,2014,2,GGGA
뮤지컬,141830,3949,2543,1406,12.3,5만원이상~7만원미만,2014,2,GGGA
뮤지컬,233540,11073,2992,8081,14.4,7만원이상~10만원미만,2014,2,GGGA
뮤지컬,51413,2389,441,1948,2.1,10만원이상~15만원미만,2014,2,GGGA
뮤지컬,0,0,0,0,0.0,15만원이상,2014,2,GGGA
연극,0,9891,7587,2304,52.3,0원,2014,2,AAAA
연극,77276,6388,5659,729,39.0,3만원미만,2014,2,AAAA
연극,38195,1238,1067,171,7.4,3만원이상~5만원미만,2014,2,AAAA
연극,10150,224,203,21,1.4,5만원이상~7만원미만,2014,2,AAAA
연극,0,0,0,0,0.0,7만원이상~10만원미만,2014,2,AAAA
연극,0,0,0,0,0.0,10만원이상~15만원미만,2014,2,AAAA
연극,0,0,0,0,0.0,15만원이상,2014,2,AAAA
대중음악,0,44,33,11,2.8,0원,2014,3,CCCD
대중음악,9946,737,570,167,48.1,3만원미만,2014,3,CCCD
대중음악,10471,351,279,72,23.5,3만원이상~5만원미만,2014,3,CCCD
대중음악,12769,279,224,55,18.9,5만원이상~7만원미만,2014,3,CCCD
대중음악,6653,106,79,27,6.7,7만원이상~10만원미만,2014,3,CCCD
대중음악,0,0,0,0,0.0,10만원이상~15만원미만,2014,3,CCCD
대중음악,0,0,0,0,0.0,15만원이상,2014,3,CCCD
뮤지컬,0,3334,3264,70,60.4,0원,2014,3,GGGA
뮤지컬,34608,2113,1682,431,31.1,3만원미만,2014,3,GGGA
뮤지컬,14817,831,403,428,7.5,3만원이상~5만원미만,2014,3,GGGA
뮤지컬,3056,98,52,46,1.0,5만원이상~7만원미만,2014,3,GGGA
뮤지컬,400,44,5,39,0.1,7만원이상~10만원미만,2014,3,GGGA
뮤지컬,0,0,0,0,0.0,10만원이상~15만원미만,2014,3,GGGA
뮤지컬,0,0,0,0,0.0,15만원이상,2014,3,GGGA
연극,0,8975,8038,937,31.6,0원,2014,3,AAAA
연극,168197,16587,13395,3192,52.6,3만원미만,2014,3,AAAA
연극,88155,2974,2352,622,9.2,3만원이상~5만원미만,2014,3,AAAA
연극,75961,1694,1339,355,5.3,5만원이상~7만원미만,2014,3,AAAA
연극,24020,390,343,47,1.4,7만원이상~10만원미만,2014,3,AAAA
연극,0,0,0,0,0.0,10만원이상~15만원미만,2014,3,AAAA
연극,0,0,0,0,0.0,15만원이상,2014,3,AAAA
대중음악,0,56,49,7,2.4,0원,2014,4,CCCD
대중음악,14131,943,798,145,39.8,3만원미만,2014,4,CCCD
대중음악,11432,346,277,69,13.8,3만원이상~5만원미만,2014,4,CCCD
대중음악,13350,262,228,34,11.4,5만원이상~7만원미만,2014,4,CCCD
대중음악,51234,710,606,104,30.2,7만원이상~10만원미만,2014,4,CCCD
대중음악,5170,53,47,6,2.3,10만원이상~15만원미만,2014,4,CCCD
대중음악,0,0,0,0,0.0,15만원이상,2014,4,CCCD
뮤지컬,0,2048,1772,276,90.0,0원,2014,4,GGGA
뮤지컬,2192,239,188,51,9.6,3만원미만,2014,4,GGGA
뮤지컬,270,9,8,1,0.4,3만원이상~5만원미만,2014,4,GGGA
뮤지컬,50,1,1,0,0.1,5만원이상~7만원미만,2014,4,GGGA
뮤지컬,0,0,0,0,0.0,7만원이상~10만원미만,2014,4,GGGA
뮤지컬,0,0,0,0,0.0,10만원이상~15만원미만,2014,4,GGGA
뮤지컬,0,0,0,0,0.0,15만원이상,2014,4,GGGA
연극,0,6343,5007,1336,26.9,0원,2014,4,AAAA
연극,148217,13625,9926,3699,53.3,3만원미만,2014,4,AAAA
연극,113304,6576,3354,3222,18.0,3만원이상~5만원미만,2014,4,AAAA
연극,15950,633,319,314,1.7,5만원이상~7만원미만,2014,4,AAAA
연극,70,1,1,0,0.0,7만원이상~10만원미만,2014,4,AAAA
연극,0,0,0,0,0.0,10만원이상~15만원미만,2014,4,AAAA
연극,8000,3,1,2,0.0,15만원이상,2014,4,AAAA
대중음악,0,0,0,0,0.0,0원,2014,5,CCCD
대중음악,3476,238,196,42,12.4,3만원미만,2014,5,CCCD
대중음악,512,18,11,7,0.7,3만원이상~5만원미만,2014,5,CCCD
대중음악,3163,81,49,32,3.1,5만원이상~7만원미만,2014,5,CCCD
대중음악,16863,324,187,137,11.8,7만원이상~10만원미만,2014,5,CCCD
대중음악,149303,1988,1142,846,72.1,10만원이상~15만원미만,2014,5,CCCD
대중음악,0,0,0,0,0.0,15만원이상,2014,5,CCCD
뮤지컬,0,9781,8840,941,83.1,0원,2014,5,GGGA
뮤지컬,15757,1471,1285,186,12.1,3만원미만,2014,5,GGGA
뮤지컬,11974,545,328,217,3.1,3만원이상~5만원미만,2014,5,GGGA
뮤지컬,9177,394,155,239,1.5,5만원이상~7만원미만,2014,5,GGGA
뮤지컬,2224,226,28,198,0.3,7만원이상~10만원미만,2014,5,GGGA
뮤지컬,0,0,0,0,0.0,10만원이상~15만원미만,2014,5,GGGA
뮤지컬,0,0,0,0,0.0,15만원이상,2014,5,GGGA
연극,0,4562,3090,1472,28.0,0원,2014,5,AAAA
연극,89302,7298,5910,1388,53.5,3만원미만,2014,5,AAAA
연극,58544,2095,1654,441,15.0,3만원이상~5만원미만,2014,5,AAAA
연극,18945,427,364,63,3.3,5만원이상~7만원미만,2014,5,AAAA
연극,1750,32,25,7,0.2,7만원이상~10만원미만,2014,5,AAAA
연극,0,0,0,0,0.0,10만원이상~15만원미만,2014,5,AAAA
연극,0,0,0,0,0.0,15만원이상,2014,5,AAAA
대중음악,0,200,194,6,16.8,0원,2014,6,CCCD
대중음악,1518,70,62,8,5.4,3만원미만,2014,6,CCCD
대중음악,17424,556,464,92,40.2,3만원이상~5만원미만,2014,6,CCCD
대중음악,15359,315,266,49,23.1,5만원이상~7만원미만,2014,6,CCCD
대중음악,12697,194,168,26,14.6,7만원이상~10만원미만,2014,6,CCCD
