장르,예매수,취소수,총 티켓판매수,총 티켓판매액,가격대,총 티켓판매수_장르비중(%),날짜
연극,1249,1597,0,0,0,0.0,20230101
연극,4287,454,3833,66476,~3,80.8,20230101
연극,712,237,475,17631,3~5,10.0,20230101
연극,620,220,400,23427,5~7,8.4,20230101
연극,492,142,350,27191,7~10,7.4,20230101
연극,85,53,32,3521,10~15,0.7,20230101
연극,0,0,0,0,15~,0.0,20230101
뮤지컬,2143,4331,0,0,0,0.0,20230101
뮤지컬,3069,642,2427,49576,~3,22.9,20230101
뮤지컬,7153,1940,5213,198646,3~5,49.1,20230101
뮤지컬,1281,386,895,50490,5~7,8.4,20230101
뮤지컬,1979,700,1279,102344,7~10,12.1,20230101
뮤지컬,3493,1734,1759,212916,10~15,16.6,20230101
뮤지컬,3116,1888,1228,192947,15~,11.6,20230101
서양음악(클래식),21,4,17,0,0,0.7,20230101
서양음악(클래식),1187,323,864,13535,~3,36.5,20230101
서양음악(클래식),722,240,482,17734,3~5,20.4,20230101
서양음악(클래식),472,128,344,19656,5~7,14.5,20230101
서양음악(클래식),490,143,347,27815,7~10,14.7,20230101
서양음악(클래식),492,205,287,33176,10~15,12.1,20230101
서양음악(클래식),44,19,25,4690,15~,1.1,20230101
한국음악(국악),0,0,0,0,0,0.0,20230101
한국음악(국악),203,41,162,2378,~3,88.0,20230101
한국음악(국악),25,5,20,729,3~5,10.9,20230101
한국음악(국악),2,0,2,120,5~7,1.1,20230101
한국음악(국악),0,0,0,0,7~10,0.0,20230101
한국음악(국악),0,0,0,0,10~15,0.0,20230101
한국음악(국악),0,0,0,0,15~,0.0,20230101
대중음악,631,70,561,0,0,16.6,20230101
대중음악,65,16,49,912,~3,1.5,20230101
대중음악,94,22,72,2816,3~5,2.1,20230101
대중음악,216,145,71,4092,5~7,2.1,20230101
대중음악,550,271,279,26294,7~10,8.2,20230101
대중음악,4844,2610,2234,290262,10~15,65.9,20230101
대중음악,198,76,122,21997,15~,3.6,20230101
무용(서양/한국무용),1,1,0,0,0,0.0,20230101
무용(서양/한국무용),68,10,58,1014,~3,41.7,20230101
무용(서양/한국무용),33,4,29,1095,3~5,20.9,20230101
무용(서양/한국무용),19,6,13,714,5~7,9.4,20230101
무용(서양/한국무용),30,15,15,1090,7~10,10.8,20230101
무용(서양/한국무용),9,1,8,920,10~15,5.8,20230101
무용(서양/한국무용),16,0,16,3380,15~,11.5,20230101
대중무용,0,0,0,0,0,0.0,20230101
대중무용,0,0,0,0,~3,0.0,20230101
대중무용,26,12,14,420,3~5,100.0,20230101
대중무용,0,0,0,0,5~7,0.0,20230101
대중무용,0,0,0,0,7~10,0.0,20230101
대중무용,0,0,0,0,10~15,0.0,20230101
대중무용,0,0,0,0,15~,0.0,20230101
서커스/마술,0,0,0,0,0,0.0,20230101
서커스/마술,674,139,535,9159,~3,66.8,20230101
서커스/마술,33,1,32,1300,3~5,4.0,20230101
서커스/마술,43,0,43,2508,5~7,5.4,20230101
서커스/마술,242,51,191,15526,7~10,23.9,20230101
서커스/마술,0,0,0,0,10~15,0.0,20230101
서커스/마술,0,0,0,0,15~,0.0,20230101
복합,5,0,5,0,0,11.6,20230101
복합,52,16,36,497,~3,83.7,20230101
복합,3,1,2,63,3~5,4.7,20230101
복합,0,0,0,0,5~7,0.0,20230101
복합,0,0,0,0,7~10,0.0,20230101
복합,0,0,0,0,10~15,0.0,20230101
복합,0,0,0,0,15~,0.0,20230101
연극,399,264,135,0,0,2.8,20230102
연극,4193,733,3460,56904,~3,70.5,20230102
연극,1042,404,638,23832,3~5,13.0,20230102
연극,574,223,351,21226,5~7,7.2,20230102
연극,507,205,302,23801,7~10,6.2,20230102
연극,94,73,21,2332,10~15,0.4,20230102
연극,0,0,0,0,15~,0.0,20230102
뮤지컬,4537,4603,0,0,0,0.0,20230102
뮤지컬,4722,1163,3559,67758,~3,25.6,20230102
뮤지컬,7918,2633,5285,200655,3~5,38.0,20230102
