공연시설ID,공연시설명,공연장수,시설특성,개관연도,객석수,전화번호,홈페이지,주소,위도,경도,레스토랑여부,카페여부,편의점여부,놀이방여부,수유실여부,장애시설_주차장,장애시설_화장실,장애시설_경사로,장애시설_엘리베이터,주차시설여부,mt13s,returncode,errmsg,responsetime,시군구,시도
FC002611,서울대학교,4.0,공공(기타),,115.0,02-880-5114,,서울특별시 관악구 관악로 1 (신림동),37.4680381,126.9592943,N,N,N,N,N,Y,N,N,N,Y,,,,,관악구,서울특별시
FC001177,광화문아트홀,1.0,공공(문예회관),2008.0,340.0,,,서울특별시 종로구 인왕산로1길 21 (사직동),37.5742102,126.9646484,N,N,N,N,N,Y,Y,Y,N,N,,,,,종로구,서울특별시
FC003454,뭇(moot),1.0,민간(대학로 외),,0.0,010-6698-2415,,서울특별시 강남구 강남대로162길 41-15 (신사동),37.5217066,127.021036,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC001958,반포심산아트홀,1.0,공공(기타),2011.0,405.0,02-3477-2666,www.seochocf.or.kr,서울특별시 서초구 사평대로 55 (반포동),37.4988598,126.9905166,N,N,N,N,N,Y,Y,N,N,Y,,,,,서초구,서울특별시
FC001859,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),1.0,민간(대학로),2018.0,200.0,070-7733-7198,,서울특별시 종로구 동숭길 94 (동숭동),37.5824158,127.004328,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003378,스튜디오 일상,1.0,민간(대학로 외),,0.0,,,서울특별시 성북구 삼선교로10길 3(삼선동2가),37.5878433,127.0089396,N,N,N,N,N,N,N,N,N,N,,,,,성북구,서울특별시
FC002361,반쥴,1.0,기타(비공연장),,70.0,02-735-5437,http://www.banjul.co.kr/,서울특별시 종로구 삼일대로17길 23 (관철동),37.5690724,126.9861858,N,Y,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003414,M50클럽,1.0,민간(대학로),,0.0,,,서울특별시 마포구 월드컵북로6길 60 (동교동),37.5592749,126.9216589,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC000840,계양문화회관,1.0,공공(문예회관),1997.0,795.0,032-551-6602,http://www.gysiseol.or.kr/culturebuilding/main/index.php,인천광역시 계양구 계양산로35번길 11 (계산동),37.5461360583772,126.718079789918,N,N,N,N,N,Y,N,N,N,Y,,,,,계양구,인천광역시
FC003620,스튜디오 별감,1.0,민간(대학로 외),2023.0,0.0,,https://www.byulgam.com/,서울특별시 마포구 월드컵로5길 20 (합정동),37.5519606,126.9112206,N,N,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC003633,서대문독립공원,1.0,국립,1992.0,0.0,,,서울특별시 서대문구 통일로 251 (현저동),37.5746085,126.9556118,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC003603,연극패 청년,1.0,민간(대학로 외),,10.0,010-2634-7976,,서울특별시 영등포구 양산로 150 (당산동1가),37.5234207,126.8996307,N,N,N,N,N,N,N,N,N,N,,,,,영등포구,서울특별시
FC001847,을지공간,1.0,민간(대학로 외),2018.0,50.0,010-2104-7293,https://www.euljispace.com/,서울특별시 중구 창경궁로5길 5 (을지로4가),37.5670744,126.9976782,N,Y,N,N,N,N,N,N,N,N,,,,,중구,서울특별시
FC003601,극단틈새소극장,1.0,민간(대학로 외),2012.0,56.0,010-3286-7993,,서울특별시 관악구 남부순환로 1695 (봉천동),37.483917,126.9388891,N,N,N,N,N,N,N,N,N,N,,,,,관악구,서울특별시
FC001814,북극곰소극장(구.아뮤스소극장),1.0,민간(대학로),2019.0,37.0,010-4293-5155,https://bookbear23.modoo.at/,서울특별시 종로구 이화장1길 24 (이화동),37.5773694,127.00575709999998,N,N,N,N,N,N,Y,N,N,N,,,,,종로구,서울특별시
