공연시설ID,공연시설명,공연장수,시설특성,개관연도,객석수,전화번호,홈페이지,주소,위도,경도,레스토랑여부,카페여부,편의점여부,놀이방여부,수유실여부,장애시설_주차장,장애시설_화장실,장애시설_경사로,장애시설_엘리베이터,주차시설여부,mt13s,returncode,errmsg,responsetime,시군구,시도
FC002047,이너프 라운지,1.0,기타(비공연장),2016.0,30.0,02-711-9245,http://enough.kr/,서울특별시 마포구 토정로17길 11 (신수동),37.5453019,126.9359164,N,Y,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC002611,서울대학교,4.0,공공(기타),,115.0,02-880-5114,,서울특별시 관악구 관악로 1 (신림동),37.4680381,126.9592943,N,N,N,N,N,Y,N,N,N,Y,,,,,관악구,서울특별시
FC003439,IVEX STUDIO,2.0,민간(대학로 외),2021.0,450.0,02-322-1112,https://ivexstudio.com/,경기도 광명시 양지로 17 (일직동),37.4186807,126.8828897,N,Y,N,N,N,N,N,N,N,Y,,,,,광명시,경기도
FC003573,아시아출판문화정보센터,1.0,민간(대학로 외),2003.0,0.0,031-955-0050,http://www.pajubookcity.org/Space/AsiaPublicationCulture#thirdPage,경기도 파주시 회동길 145 (문발동),37.7084812,126.6867933,N,N,N,N,N,N,N,N,N,N,,,,,파주시,경기도
FC001177,광화문아트홀,1.0,공공(문예회관),2008.0,340.0,,,서울특별시 종로구 인왕산로1길 21 (사직동),37.5742102,126.9646484,N,N,N,N,N,Y,Y,Y,N,N,,,,,종로구,서울특별시
FC000136,수정청소년수련관,1.0,공공(기타),1994.0,412.0,031-729-9200,https://www.snyouth.or.kr/snyc/index.do,경기도 성남시 수정구 희망로509번길 20 (신흥동),37.4485088,127.14921549999995,Y,N,N,N,N,Y,N,N,N,Y,,,,,성남시,경기도
FC003454,뭇(moot),1.0,민간(대학로 외),,0.0,010-6698-2415,,서울특별시 강남구 강남대로162길 41-15 (신사동),37.5217066,127.021036,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC002221,월서울 (wall.seoul),1.0,기타(비공연장),2018.0,110.0,02-466-8082,https://www.facebook.com/pages/category/Arts---Entertainment/wallseoul-293618071402567/,서울특별시 성동구 성수이로 65 (성수동2가),37.5410211,127.0555031,N,Y,N,N,N,N,N,N,N,Y,,,,,성동구,서울특별시
FC002226,광야아트센터,1.0,민간(대학로 외),2019.0,216.0,02-741-9182,https://stgwangya.modoo.at/,서울특별시 강남구 선릉로 806 (청담동),37.5238653,127.0396166,N,Y,N,Y,Y,N,Y,Y,Y,Y,,,,,강남구,서울특별시
FC002090,CLUB bender(클럽 벤더),1.0,민간(대학로 외),,0.0,02-6406-5646,,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층,37.5500517,126.923351,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
