시간대,공연건수,상연횟수,취소수,총 티켓판매수,총 티켓판매액,예매수,날짜,시간대_그룹,시간대_대분류
00:00 ~ 2:59,0,0,0,0,0,0,20230101,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230101,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230101,6-9,심야
9:00 ~ 11:59,542,542,855,2498,78778010,3353,20230101,9-12,주간
12:00 ~ 14:59,1157,1157,7047,4257,385985603,11304,20230101,12-15,주간
15:00 ~ 17:59,1078,1078,3490,6183,296267608,9673,20230101,15-18,주간
18:00 ~ 20:59,1557,1557,7500,9338,687706433,16838,20230101,18-21,저녁
21:00 ~ 23:59,11,11,7,14,317500,21,20230101,21-24,저녁
합계,4345,4345,18899,22290,1449055154,41189,20230101,,
00:00 ~ 2:59,0,0,0,0,0,0,20230102,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230102,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230102,6-9,심야
9:00 ~ 11:59,680,680,1504,3673,102819140,5177,20230102,9-12,주간
12:00 ~ 14:59,1207,1207,4334,6717,362799968,11051,20230102,12-15,주간
15:00 ~ 17:59,1145,1145,3169,6275,252380010,9444,20230102,15-18,주간
18:00 ~ 20:59,1679,1679,13020,11584,657819039,24604,20230102,18-21,저녁
21:00 ~ 23:59,11,11,15,27,-13300,42,20230102,21-24,저녁
합계,4722,4722,22042,28276,1375804857,50318,20230102,,
00:00 ~ 2:59,0,0,0,0,0,0,20230103,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230103,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230103,6-9,심야
9:00 ~ 11:59,699,699,1843,3893,98291990,5736,20230103,9-12,주간
12:00 ~ 14:59,1305,1305,4640,8362,392737430,13002,20230103,12-15,주간
15:00 ~ 17:59,1155,1155,4593,6367,244544350,10960,20230103,15-18,주간
18:00 ~ 20:59,1764,1764,13939,15941,891309427,29880,20230103,18-21,저녁
21:00 ~ 23:59,15,15,48,8,-2027900,56,20230103,21-24,저녁
합계,4938,4938,25063,34571,1624855297,59634,20230103,,
00:00 ~ 2:59,0,0,0,0,0,0,20230104,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230104,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230104,6-9,심야
9:00 ~ 11:59,653,653,1952,5891,118535000,7843,20230104,9-12,주간
12:00 ~ 14:59,1311,1311,6551,10798,480814810,17349,20230104,12-15,주간
15:00 ~ 17:59,1169,1169,4092,8643,328795680,12735,20230104,15-18,주간
18:00 ~ 20:59,1775,1775,17520,18811,1177247019,36331,20230104,18-21,저녁
21:00 ~ 23:59,16,16,12,47,1576100,59,20230104,21-24,저녁
합계,4924,4924,30127,44190,2106968609,74317,20230104,,
00:00 ~ 2:59,0,0,0,0,0,0,20230105,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230105,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230105,6-9,심야
9:00 ~ 11:59,738,738,2849,4894,116175210,7743,20230105,9-12,주간
12:00 ~ 14:59,1336,1336,6996,13258,874450970,20254,20230105,12-15,주간
15:00 ~ 17:59,1211,1211,5865,9518,408284900,15383,20230105,15-18,주간
18:00 ~ 20:59,1884,1884,20074,31710,1972610390,51784,20230105,18-21,저녁
21:00 ~ 23:59,10,10,10,32,1106600,42,20230105,21-24,저녁
합계,5179,5179,35794,59412,3372628070,95206,20230105,,
00:00 ~ 2:59,0,0,0,0,0,0,20230106,0-3,심야
3:00 ~ 5:59,0,0,0,0,0,0,20230106,3-6,심야
6:00 ~ 8:59,0,0,0,0,0,0,20230106,6-9,심야
9:00 ~ 11:59,745,745,4021,10004,121128890,14025,20230106,9-12,주간
12:00 ~ 14:59,1393,1393,8610,14902,673830970,23512,20230106,12-15,주간
