장르,공연건수,상연횟수,취소수,총 티켓판매수,총 티켓판매액,예매수,날짜
연극,153,1212,2703,4742,138245444,7445,20230101
연극,140,1276,1902,4907,128094677,6809,20230102
연극,141,1315,2666,5740,154261237,8406,20230103
연극,140,1322,3856,5707,145215829,9563,20230104
연극,152,1397,6174,10860,371096790,17034,20230105
연극,145,1363,3589,6719,165420700,10308,20230106
연극,132,1245,3567,7085,163013640,10652,20230107
연극,145,1237,2828,6185,144598380,9013,20230108
연극,140,1272,2483,6632,160185040,9115,20230109
연극,153,1347,3584,9981,155725270,13565,20230110
연극,149,1363,3472,6867,251016100,10339,20230111
연극,151,1352,5005,12721,496886720,17726,20230112
연극,160,1433,3594,13137,316134160,16731,20230113
연극,142,1273,3738,8732,245785750,12470,20230114
연극,139,1200,3188,6330,180020050,9518,20230115
연극,138,1166,2721,5130,145366040,7851,20230116
연극,147,1338,3059,6982,214612910,10041,20230117
연극,152,1306,4573,5514,151883610,10087,20230118
연극,153,1317,5849,9045,426334680,14894,20230119
연극,157,1320,5274,5596,157474007,10870,20230120
연극,154,1197,2596,5014,135571060,7610,20230121
연극,144,1141,2426,5240,129067440,7666,20230122
연극,148,1158,2591,6349,155309187,8940,20230123
연극,147,1228,3483,4935,131895517,8418,20230124
연극,157,1298,2401,8685,153210770,11086,20230125
연극,165,1332,3654,5619,148662970,9273,20230126
연극,160,1318,3563,6886,166623300,10449,20230127
연극,151,1252,3161,7965,179929182,11126,20230128
연극,149,1185,4753,5982,151820420,10735,20230129
연극,146,1233,2216,5314,145560100,7530,20230130
연극,154,1317,3137,7005,220364090,10142,20230131
연극,152,1425,4539,9541,434123920,14080,20230201
연극,162,1420,3934,8825,310135400,12759,20230202
연극,171,1385,3521,8101,222061900,11622,20230203
연극,153,1241,4101,7676,205894000,11777,20230204
연극,149,1214,3094,5961,159956400,9055,20230205
연극,149,1212,4839,4704,140058970,9543,20230206
연극,152,1284,3130,6191,171720950,9321,20230207
연극,162,1252,3181,7018,173044320,10199,20230208
연극,175,1326,4240,11172,232136152,15412,20230209
연극,183,1354,3524,7780,209297720,11304,20230210
연극,175,1312,4090,12271,184793320,16361,20230211
연극,159,1216,3336,6028,169789350,9364,20230212
연극,160,1227,2716,5373,150574570,8089,20230213
연극,176,1342,5566,13802,442221800,19368,20230214
연극,181,1344,4555,9878,447786482,14433,20230215
연극,188,1336,4886,8654,373842960,13540,20230216
연극,192,1343,4557,7975,230784510,12532,20230217
연극,187,1235,4257,6773,201409662,11030,20230218
연극,184,1161,3024,5675,159246030,8699,20230219
연극,167,1178,2413,5030,130260770,7443,20230220
연극,186,1238,4153,10030,375803430,14183,20230221
연극,196,1315,3503,6913,201463442,10416,20230222
연극,197,1297,4294,7136,186709960,11430,20230223
연극,205,1264,3804,8497,168686520,12301,20230224
연극,193,1149,3417,6518,175556030,9935,20230225
연극,179,1076,2355,6249,152326220,8604,20230226
연극,180,1108,2746,5737,142510495,8483,20230227
연극,192,1124,2732,6751,186831920,9483,20230228
연극,180,1227,2726,6107,156899310,8833,20230301
연극,195,1262,3749,5335,149024240,9084,20230302
연극,202,1223,2912,5421,154558140,8333,20230303
연극,192,1161,2622,6356,163673980,8978,20230304
연극,179,1082,2260,4495,131840440,6755,20230305
연극,177,1133,2477,5413,125558880,7890,20230306
연극,189,1212,5646,8251,328095290,13897,20230307
연극,199,1224,3517,4982,122484160,8499,20230308
연극,194,1258,3579,11017,172000130,14596,20230309
연극,214,1271,3649,7067,172659900,10716,20230310
연극,191,1102,2335,5925,139598200,8260,20230311
연극,173,1068,2230,4895,122281500,7125,20230312
연극,191,1172,3085,4784,132571210,7869,20230313
연극,197,1235,3313,6307,231385140,9620,20230314
연극,204,1276,3337,6695,199000510,10032,20230315
연극,207,1382,4189,10273,180204520,14462,20230316
연극,208,1272,3238,7166,172293170,10404,20230317
연극,202,1198,2565,6890,159340570,9455,20230318
연극,195,1102,2312,4880,131433250,7192,20230319
연극,207,1213,2946,3962,116521290,6908,20230320
연극,205,1221,3001,5075,120993460,8076,20230321
연극,218,1274,2875,8189,147442570,11064,20230322
연극,220,1214,2699,9170,136409330,11869,20230323
연극,232,1288,3729,7445,173665570,11174,20230324
연극,208,1113,2270,6981,200791300,9251,20230325
연극,218,1049,3589,9996,490616874,13585,20230326
연극,199,1122,3085,7909,300466120,10994,20230327
연극,219,1195,3521,9706,288273541,13227,20230328
연극,207,1166,3608,6796,222619450,10404,20230329
연극,216,1294,5314,12302,519251500,17616,20230330
연극,232,1262,3563,8256,178826351,11819,20230331
연극,207,1213,3009,7047,172550071,10056,20230401
연극,190,1119,2233,4360,113578271,6593,20230402
연극,210,1239,2642,5744,132620121,8386,20230403
연극,215,1249,3677,6043,140063190,9720,20230404
연극,223,1341,2703,5790,144074913,8493,20230405
연극,232,1429,3729,12647,199045280,16376,20230406
연극,227,1351,3157,8970,172872600,12127,20230407
연극,219,1277,2965,10294,159250050,13259,20230408
연극,205,1237,3939,5388,127121700,9327,20230409
연극,203,1246,2521,4785,118723560,7306,20230410
연극,211,1288,2773,5829,123806820,8602,20230411
연극,208,1313,3207,6649,126379030,9856,20230412
연극,209,1324,3487,7534,149011480,11021,20230413
연극,234,1454,3526,14525,193436090,18051,20230414
연극,214,1247,3140,6465,124334450,9605,20230415
연극,210,1194,2436,4800,105204881,7236,20230416
연극,207,1309,2253,8135,110949750,10388,20230417
연극,222,1376,2717,7671,175147260,10388,20230418
연극,231,1355,2739,7219,171022910,9958,20230419
연극,236,1419,3421,6183,135169140,9604,20230420
연극,237,1415,3441,7233,145964530,10674,20230421
연극,207,1238,3083,6342,126245960,9425,20230422
연극,197,1240,2465,5226,108680720,7691,20230423
연극,206,1361,2561,4962,102427950,7523,20230424
연극,227,1466,5594,7841,171537280,13435,20230425
연극,240,1504,4469,8925,278362860,13394,20230426
연극,235,1504,3748,9028,215708100,12776,20230427
연극,255,1516,4473,8698,188255371,13171,20230428
연극,230,1394,3878,8039,171370841,11917,20230429
연극,211,1274,3097,6850,168924062,9947,20230430
연극,231,1401,4291,5415,164401140,9706,20230501
연극,235,1606,3413,6730,170045760,10143,20230502
연극,246,1544,4308,8623,218719699,12931,20230503
연극,251,1591,4329,8447,214148180,12776,20230504
연극,236,1441,3701,8140,216338280,11841,20230505
연극,227,1328,3169,6170,160502470,9339,20230506
연극,207,1205,2519,4315,117328701,6834,20230507
연극,212,1302,2321,6134,124609120,8455,20230508
연극,241,1422,3840,8100,123383500,11940,20230509
연극,241,1434,3218,10670,260999561,13888,20230510
연극,258,1435,3155,7234,163838470,10389,20230511
연극,246,1374,4613,9061,264870461,13674,20230512
연극,237,1254,3066,6353,150272300,9419,20230513
연극,217,1189,3442,5049,122872010,8491,20230514
연극,231,1283,2110,5647,120806981,7757,20230515
연극,233,1433,7062,13777,365219669,20839,20230516
연극,234,1398,4059,5827,123035980,9886,20230517
연극,250,1439,3794,7826,225767941,11620,20230518
연극,237,1409,6263,12460,525994131,18723,20230519
연극,234,1302,4308,6375,150233880,10683,20230520
연극,223,1187,2882,4677,115844680,7559,20230521
연극,229,1358,2601,5931,112379680,8532,20230522
연극,235,1420,3619,6933,169289750,10552,20230523
연극,246,1405,3891,6599,165166980,10490,20230524
연극,253,1484,4234,8550,208989915,12784,20230525
연극,258,1422,4341,9666,197118980,14007,20230526
연극,238,1308,3453,8195,178041360,11648,20230527
연극,218,1124,2612,5972,142882120,8584,20230528
연극,229,1197,2338,4988,115832050,7326,20230529
연극,235,1296,3841,8677,136208400,12518,20230530
연극,242,1318,2996,6021,208180400,9017,20230531
연극,273,1531,3327,6168,138431700,9495,20230601
연극,275,1456,3387,8308,168388530,11695,20230602
연극,249,1228,2680,6123,138062860,8803,20230603
연극,228,1165,2305,5322,116768980,7627,20230604
연극,236,1246,2224,6191,122851309,8415,20230605
연극,237,1183,2594,5302,148065271,7896,20230606
연극,256,1312,2506,6195,142028051,8701,20230607
연극,260,1366,3238,12425,232965760,15663,20230608
연극,260,1392,5937,11560,365884690,17497,20230609
연극,236,1143,3045,5845,126860150,8890,20230610
연극,220,1165,2778,4216,126252160,6994,20230611
연극,233,1265,2889,5011,126318620,7900,20230612
연극,234,1287,2490,8056,138204510,10546,20230613
연극,239,1289,2307,5170,105701350,7477,20230614
연극,230,1253,2375,5098,97662360,7473,20230615
연극,246,1365,3055,10005,108956300,13060,20230616
연극,233,1129,2419,4926,92538280,7345,20230617
연극,204,1059,1815,3859,77450140,5674,20230618
연극,226,1205,1744,5025,69451570,6769,20230619
연극,235,1218,2208,3816,73198030,6024,20230620
연극,220,1191,2427,7045,143080000,9472,20230621
연극,249,1338,3316,7004,173527256,10320,20230622
연극,257,1388,2967,15041,169848450,18008,20230623
연극,222,1188,2930,6166,147656730,9096,20230624
연극,196,1083,2380,4356,104542850,6736,20230625
연극,215,1239,2285,4662,100495830,6947,20230626
연극,227,1316,2348,7508,180769120,9856,20230627
연극,246,1338,2504,7540,141450980,10044,20230628
연극,234,1358,2542,5963,130175830,8505,20230629
연극,238,1446,3252,6489,142928970,9741,20230630
연극,232,1386,2592,6679,149959430,9271,20230701
연극,211,1282,2245,5564,112480002,7809,20230702
연극,228,1366,1937,6129,96430080,8066,20230703
연극,236,1412,5594,10298,382390782,15892,20230704
연극,242,1508,4236,11209,376508690,15445,20230705
연극,239,1459,3657,12830,239907370,16487,20230706
연극,252,1481,3990,10031,230782970,14021,20230707
연극,234,1348,3633,9134,235564300,12767,20230708
연극,217,1335,2758,6218,179603033,8976,20230709
연극,232,1425,2753,6235,144671792,8988,20230710
연극,229,1377,2851,4789,125092852,7640,20230711
연극,232,1387,2410,5808,128650600,8218,20230712
연극,237,1473,2383,5532,121412905,7915,20230713
연극,242,1524,3182,13257,247505760,16439,20230714
연극,238,1341,3175,6804,165044230,9979,20230715
연극,229,1343,2630,6630,132725021,9260,20230716
연극,226,1405,2854,5226,105416041,8080,20230717
