장르,개막편수,상연횟수,매출액,매출액점유율(%),관객수,관객점유율(%),날짜
연극,1,187,203037050,3.8,8158,13.4,20230101
뮤지컬,1,128,3052317930,56.5,34729,57.1,20230101
서양음악(클래식),0,0,0,0.0,0,0.0,20230101
한국음악(국악),0,0,0,0.0,0,0.0,20230101
대중음악,1,5,2054854200,38.0,16207,26.6,20230101
무용(서양/한국무용),0,0,0,0.0,0,0.0,20230101
대중무용,0,0,0,0.0,0,0.0,20230101
서커스/마술,0,32,90371870,1.7,1702,2.8,20230101
복합,0,2,938700,0.0,63,0.1,20230101
연극,0,46,16537380,7.6,3370,44.8,20230102
뮤지컬,0,10,92514990,42.4,1445,19.2,20230102
서양음악(클래식),2,2,1048000,0.5,361,4.8,20230102
한국음악(국악),0,0,0,0.0,0,0.0,20230102
대중음악,2,3,95720600,43.9,1657,22.0,20230102
무용(서양/한국무용),0,0,0,0.0,0,0.0,20230102
대중무용,0,0,0,0.0,0,0.0,20230102
서커스/마술,0,16,12456340,5.7,682,9.1,20230102
복합,0,0,0,0.0,0,0.0,20230102
연극,1,68,62948272,6.4,3111,17.4,20230103
뮤지컬,0,53,804057910,82.0,10681,59.6,20230103
서양음악(클래식),6,6,47425650,4.8,2331,13.0,20230103
한국음악(국악),0,0,0,0.0,0,0.0,20230103
대중음악,1,1,51203300,5.2,912,5.1,20230103
무용(서양/한국무용),0,0,0,0.0,0,0.0,20230103
대중무용,0,0,0,0.0,0,0.0,20230103
서커스/마술,4,27,14872050,1.5,872,4.9,20230103
복합,0,0,0,0.0,0,0.0,20230103
연극,5,97,102248704,6.7,4584,16.1,20230104
뮤지컬,1,72,1277742170,83.2,16728,58.7,20230104
서양음악(클래식),7,8,8697000,0.6,657,2.3,20230104
한국음악(국악),0,0,0,0.0,0,0.0,20230104
대중음악,1,4,128076700,8.3,3603,12.7,20230104
무용(서양/한국무용),0,0,0,0.0,0,0.0,20230104
대중무용,0,0,0,0.0,0,0.0,20230104
서커스/마술,0,23,11450580,0.7,702,2.5,20230104
복합,1,1,6870000,0.4,2205,7.7,20230104
연극,7,107,81188844,9.2,4424,20.9,20230105
뮤지컬,0,68,705994230,79.7,10834,51.3,20230105
서양음악(클래식),11,11,83387550,9.4,4995,23.7,20230105
한국음악(국악),0,0,0,0.0,0,0.0,20230105
대중음악,1,3,10058300,1.1,564,2.7,20230105
무용(서양/한국무용),0,0,0,0.0,0,0.0,20230105
대중무용,0,0,0,0.0,0,0.0,20230105
서커스/마술,0,23,5203610,0.6,300,1.4,20230105
복합,0,0,0,0.0,0,0.0,20230105
연극,8,126,93624400,6.0,5043,15.4,20230106
뮤지컬,4,78,1007308760,65.1,15171,46.2,20230106
서양음악(클래식),12,13,49120100,3.2,7476,22.8,20230106
